slug	name	category	sheet	slot	description	use_when	icon_path
success-check	success check	核心状态	01-core-status	1	round seal badge with a large check mark, red and yellow offset ink		icons/success-check.png
error-cross	error cross	核心状态	01-core-status	2	round badge with a bold cross, indigo outline and coral fill		icons/error-cross.png
warning-triangle	warning triangle	核心状态	01-core-status	3	chunky warning triangle with one simple exclamation mark		icons/warning-triangle.png
info-dot	info dot	核心状态	01-core-status	4	round info badge with one small abstract info mark		icons/info-dot.png
plus-circle	plus circle	核心状态	01-core-status	5	circular add badge with a large plus		icons/plus-circle.png
minus-circle	minus circle	核心状态	01-core-status	6	circular remove badge with a large minus		icons/minus-circle.png
question-help	question help	核心状态	01-core-status	7	hand-cut question mark in a soft circle		icons/question-help.png
sparkle-star	sparkle star	核心状态	01-core-status	8	four-point star with offset yellow and red layers		icons/sparkle-star.png
heart	heart	核心状态	01-core-status	9	simple heart with coral fill and red misregistration edge		icons/heart.png
star-badge	star badge	核心状态	01-core-status	10	award star inside an irregular seal circle		icons/star-badge.png
flame	flame	核心状态	01-core-status	11	small flame with red and yellow spot colors		icons/flame.png
lightning	lightning	核心状态	01-core-status	12	lightning bolt with rough ink grain		icons/lightning.png
eye	eye	核心状态	01-core-status	13	almond eye with indigo pupil and blue offset fill		icons/eye.png
hidden-eye	hidden eye	核心状态	01-core-status	14	eye crossed by one diagonal stroke		icons/hidden-eye.png
empty-box	empty box	核心状态	01-core-status	15	open box with two tiny paper scraps		icons/empty-box.png
loading-swirl	loading swirl	核心状态	01-core-status	16	circular hand-printed motion swirl		icons/loading-swirl.png
home	home	导航控制	02-navigation-controls	1	simple house with offset roof layer		icons/home.png
menu-lines	menu lines	导航控制	02-navigation-controls	2	three thick rounded menu bars		icons/menu-lines.png
search	search	导航控制	02-navigation-controls	3	magnifying glass with a blue lens and red offset handle		icons/search.png
settings-gear	settings gear	导航控制	02-navigation-controls	4	chunky gear with yellow center		icons/settings-gear.png
user-avatar	user avatar	导航控制	02-navigation-controls	5	simple avatar in a circular badge		icons/user-avatar.png
bell	bell	导航控制	02-navigation-controls	6	notification bell with small clapper		icons/bell.png
bookmark	bookmark	导航控制	02-navigation-controls	7	folded bookmark with paper texture inside		icons/bookmark.png
filter-funnel	filter funnel	导航控制	02-navigation-controls	8	funnel with three settling ink dots		icons/filter-funnel.png
dashboard	dashboard	导航控制	02-navigation-controls	9	small panel with three chunky blocks		icons/dashboard.png
grid	grid	导航控制	02-navigation-controls	10	four app tiles with different spot colors		icons/grid.png
list	list	导航控制	02-navigation-controls	11	three rows with dot bullets		icons/list.png
tabs	tabs	导航控制	02-navigation-controls	12	two overlapping folder-like tabs		icons/tabs.png
sidebar	sidebar	导航控制	02-navigation-controls	13	browser window with side rail		icons/sidebar.png
cursor-click	cursor click	导航控制	02-navigation-controls	14	mouse cursor with one click burst		icons/cursor-click.png
sliders	sliders	导航控制	02-navigation-controls	15	three slider rails with offset knobs		icons/sliders.png
expand	expand	导航控制	02-navigation-controls	16	four outward corner arrows		icons/expand.png
